sgsv_by_taxon_id,full_scientific_name,species,species_epithet,infraspesific_epithet,genus,taxon_authority,vernacular_name,itis_tsn,accessions,seeds,seed_boxes,countries,continents,sgsv_taxon_id
1030742,Acacia aulacocarpa A.Cunn.ex Benth.,Acacia aulacocarpa,aulacocarpa,,Acacia,A. Cunn. ex Benth.,acacia,,1,500,1,1,0,16
1030743,Acacia auriculiformis,Acacia auriculiformis,auriculiformis,,Acacia,A Cunningham ex Benth,earleaf acacia,182096,1,500,1,1,1,17
1030744,Acacia berlandieri,Acacia berlandieri,berlandieri,,Acacia,Benth,berlandier acacia,26420,3,800,2,1,1,6336
1030745,Acacia boliviana Rusby,Acacia boliviana,boliviana,,Acacia,Rusby,acacia,,1,500,1,1,1,18
1030746,Acacia brachystachya,Acacia brachystachya,brachystachya,,Acacia,,,,2,900,2,1,1,6337
1030747,Acacia brachystachya Benth.,Acacia brachystachya,brachystachya,,Acacia,Benth.,acacia,,2,1000,1,2,1,19
1030748,Acacia caven,Acacia caven,caven,,Acacia,,acacia,,3,1700,3,3,2,20
1030749,Acacia chisholmii F.M. Bailey,Acacia chisholmii,chisholmii,,Acacia,F.M. Bailey,acacia,,1,500,1,1,1,21
1030750,Acacia constricta,Acacia constricta,constricta,,Acacia,Benth,whitethorn acacia,26422,3,1200,2,1,1,6338
1030751,Acacia coriacea,Acacia coriacea,coriacea,,Acacia,,,,1,500,1,1,0,6339
1030752,Acacia coriacea DC.,Acacia coriacea,coriacea,,Acacia,DC.,acacia,,1,500,1,1,0,22
1030753,Acacia crassicarpa,Acacia crassicarpa,crassicarpa,,Acacia,,acacia,,1,500,1,1,1,23
1030754,Acacia cyclops,Acacia cyclops,cyclops,,Acacia,G Don,cyclops acacia,506810,1,500,1,1,0,6340
1030755,Acacia deamii,Acacia deamii,deamii,,Acacia,,acacia,,4,2000,3,1,1,24
1030756,Acacia dearmii,Acacia dearmii,dearmii,,Acacia,,acacia,,1,500,1,1,1,25
1030757,Acacia decora Reichb.,Acacia decora,decora,,Acacia,Reichb.,acacia,,1,500,1,1,0,26
1030758,Acacia dolichocephala Harms.,Acacia dolichocephala,dolichocephala,,Acacia,Harms.,acacia,,1,500,1,1,1,27
1030759,Acacia erioloba,Acacia erioloba,erioloba,,Acacia,,acacia,,7,3500,5,5,1,28
1030760,Acacia erioloba E.Mey,Acacia erioloba,erioloba,,Acacia,E.Mey,acacia,,1,500,1,1,0,29
1030761,Acacia farnesiana,Acacia farnesiana,farnesiana,,Acacia,L Willd,huisache,26427,7,5500,7,4,2,30
1030762,Acacia farnesiana (L.) Willd.,Acacia farnesiana,farnesiana,,Acacia,(L.) Willd.,huisache,26427,3,1500,1,3,2,31
1030764,Acacia floribunda Willd.,Acacia floribunda,floribunda,,Acacia,Willd.,acacia,,1,500,1,1,0,32
1030765,Acacia greggii,Acacia greggii,greggii,,Acacia,Gray,catclaw acacia,26428,4,1500,2,1,1,6341
1030766,Acacia hockii,Acacia hockii,hockii,,Acacia,,,,1,500,1,1,1,6342
1030767,Acacia hockii De Wild.,Acacia hockii,hockii,,Acacia,De Wild.,acacia,,1,500,1,1,1,33
1030768,Acacia holosericea,Acacia holosericea,holosericea,,Acacia,,,,2,1000,2,2,2,6343
1030769,Acacia horrida (L.) Willd.,Acacia horrida,horrida,,Acacia,(L.) Willd.,acacia,,1,500,1,1,0,34
1030770,Acacia jennerae,Acacia jennerae,jennerae,,Acacia,,,,1,200,1,1,1,6344
1030771,Acacia karoo,Acacia karoo,karoo,,Acacia,,,,4,2000,1,1,1,7496
1030772,Acacia karroo,Acacia karroo,karroo,,Acacia,,acacia,,6,3500,3,5,2,35
1030773,Acacia kempeana,Acacia kempeana,kempeana,,Acacia,,,,1,500,1,1,1,6345
1030774,Acacia kempeana F.Muell.,Acacia kempeana,kempeana,,Acacia,F. Muell,acacia,,1,500,1,1,0,36
1030775,Acacia laccata,Acacia laccata,laccata,,Acacia,,,,1,200,1,1,1,6346
1030776,Acacia leptoclada A.Cunn.ex Benth.,Acacia leptoclada,leptoclada,,Acacia,A. Cunn.ex Benth.,acacia,,1,500,1,1,0,37
1030777,Acacia ligulata A.Cunn.ex Benth.,Acacia ligulata,ligulata,,Acacia,A. Cunn.ex Benth.,acacia,507469,1,500,1,1,0,38
1030778,Acacia linifolia Willd.,Acacia linifolia,linifolia,,Acacia,Willd.,acacia,,1,500,1,1,0,39
1030779,Acacia magnifica,Acacia magnifica,magnifica,,Acacia,,acacia,,1,500,1,1,1,40
1030780,Acacia maitlandii,Acacia maitlandii,maitlandii,,Acacia,,,,1,300,1,1,1,6347
1030781,Acacia mangium,Acacia mangium,mangium,,Acacia,,acacia,,2,1500,2,2,1,41
1030782,Acacia mearnsii,Acacia mearnsii,mearnsii,,Acacia,de Wildeman,black wattle,182081,2,700,2,2,2,42
1030783,Acacia mearnsii De Wild.,Acacia mearnsii,mearnsii,,Acacia,De Wild.,black wattle,182081,1,500,1,1,0,43
1030784,Acacia mellifera,Acacia mellifera,mellifera,,Acacia,,acacia,,1,1000,1,1,1,44
1030785,Acacia microbotrya,Acacia microbotrya,microbotrya,,Acacia,,,,1,500,1,1,0,6348
1030786,Acacia modesta,Acacia modesta,modesta,,Acacia,,,,1,500,1,1,1,7956
1030787,Acacia multicapitula,Acacia multicapitula,multicapitula,,Acacia,,acacia,,1,500,1,1,1,45
1030788,Acacia murrayana F.Muell.ex Benth.,Acacia murrayana,murrayana,,Acacia,F. Muell. ex Benth.,acacia,,1,500,1,1,1,46
1030789,Acacia negrii Pic-Serm.,Acacia negrii,negrii,,Acacia,Pic-Serm.,acacia,,1,500,1,1,1,47
1030790,Acacia nilotica,Acacia nilotica,nilotica,,Acacia,L Willd ex Delile,gum arabic tree,182086,4,2300,4,3,1,48
1030791,Acacia nilotica cupressiformis,Acacia nilotica,nilotica,cupressiformis,Acacia,,gum arabic tree,,1,500,1,1,1,50
1030792,Acacia nilotica fistula,Acacia nilotica,nilotica,,Acacia,,,,2,1000,1,1,1,7497
1030793,Acacia nilotica indica,Acacia nilotica,nilotica,indica,Acacia,,gum arabic tree,,1,500,1,1,1,51
1030794,Acacia nilotica kraussiana,Acacia nilotica,nilotica,kraussiana,Acacia,,gum arabic tree,,1,500,1,1,1,52
1030795,Acacia nilotica (L.) Delile,Acacia nilotica,nilotica,,Acacia,(L.) Delile,gum arabic tree,182086,3,1500,1,1,0,49
1030796,Acacia nilotica leiocarpa,Acacia nilotica,nilotica,,Acacia,,,,4,2000,1,1,1,7498
1030797,Acacia nilotica subalata,Acacia nilotica,nilotica,subalata,Acacia,,gum arabic tree,,13,6500,3,2,2,53
1030798,Acacia occidentalis,Acacia occidentalis,occidentalis,,Acacia,,,,1,500,1,1,1,7957
1030799,Acacia pachyacra,Acacia pachyacra,pachyacra,,Acacia,,,,1,400,1,1,1,6349
1030800,Acacia pendula A.Cunn.ex G.Don,Acacia pendula,pendula,,Acacia,A. Cunn. ex G. Don,acacia,,1,500,1,1,0,54
1030801,Acacia pennatula,Acacia pennatula,pennatula,,Acacia,,,,1,200,1,1,1,6350
1030802,Acacia penninervis DC.,Acacia penninervis,penninervis,,Acacia,DC.,acacia,,1,500,1,1,0,55
1030803,Acacia persiciflora Pax,Acacia persiciflora,persiciflora,,Acacia,Pax,acacia,,1,500,1,1,1,56
1030804,Acacia podalyriifolia G. Don.,Acacia podalyriifolia,podalyriifolia,,Acacia,G. Don.,pearl wattle,26435,2,1000,1,2,1,57
1030805,Acacia polyacantha,Acacia polyacantha,polyacantha,,Acacia,Willd,catechu tree,182088,1,500,1,1,1,6351
1030806,Acacia polyacantha Willd.,Acacia polyacantha,polyacantha,,Acacia,Willd.,catechu tree,182088,2,1000,1,1,1,58
1030807,Acacia pruinocarpa,Acacia pruinocarpa,pruinocarpa,,Acacia,,,,1,500,1,1,1,6352
1030808,Acacia retinodes Schlechtend.,Acacia retinodes,retinodes,,Acacia,Schlechtend.,water wattle,26436,1,500,1,1,1,59
1030809,Acacia rigidula,Acacia rigidula,rigidula,,Acacia,Benth,blackbrush acacia,26437,1,300,1,1,1,6353
1030810,Acacia rivalis,Acacia rivalis,rivalis,,Acacia,,,,1,500,1,1,1,6354
1030811,Acacia roemeriana,Acacia roemeriana,roemeriana,,Acacia,Scheele,blackbrush,26438,1,300,1,1,1,6355
1030812,Acacia salicina,Acacia salicina,salicina,,Acacia,,,,1,300,1,1,1,6356
1030813,Acacia salicina Lindl.,Acacia salicina,salicina,,Acacia,Lindl.,acacia,,2,1000,1,1,0,4927
1030814,Acacia saligna (Labill.) Wendl.,Acacia saligna,saligna,,Acacia,(Labill.) Wendl.,orange wattle,182091,3,1500,1,2,1,61
1032909,Carum carvi L.,Carum carvi,carvi,,Carum,L.,caraway,29610,127,70900,22,23,4,989
1030815,Acacia sclerosperma F.Muell.,Acacia sclerosperma,sclerosperma,,Acacia,F.Muell.,acacia,507478,1,500,1,1,0,62
1030816,Acacia senegal,Acacia senegal,senegal,,Acacia,L Willd,gum arabic,506367,3,2500,2,2,1,63
1030817,Acacia senegal (L.) Willd.,Acacia senegal,senegal,,Acacia,(L.) Willd.,gum arabic,506367,1,500,1,1,0,64
1030818,Acacia senegal senegal,Acacia senegal,senegal,senegal,Acacia,,gum arabic,,2,2000,1,2,1,65
1030819,Acacia seyal,Acacia seyal,seyal,,Acacia,Del,talh,506368,1,500,1,1,1,6357
1030820,Acacia seyal Del.,Acacia seyal,seyal,,Acacia,Del.,talh,506368,2,1000,1,2,1,66
1030821,Acacia seyal fistula,Acacia seyal,seyal,,Acacia,,,,8,4000,1,1,1,7499
1030822,Acacia sieberiana DC.,Acacia sieberiana,sieberiana,,Acacia,DC.,acacia,,1,500,1,1,1,67
1030823,Acacia sp.,Acacia sp.,sp.,,Acacia,,acacia,,11,6500,3,4,4,68
1030824,Acacia stenophylla,Acacia stenophylla,stenophylla,,Acacia,,,,1,500,1,1,1,6358
1030825,Acacia suaveolens Willd.,Acacia suaveolens,suaveolens,,Acacia,Willd.,acacia,,1,500,1,1,0,69
1030826,Acacia tetragonophylla,Acacia tetragonophylla,tetragonophylla,,Acacia,,,,1,300,1,1,1,6359
1030827,Acacia tortilis,Acacia tortilis,tortilis,,Acacia,Forsskal Hayne,umbrella thorn,506369,4,2000,3,3,1,70
1030828,Acacia tortilis,Acacia tortilis,tortilis,,Acacia,Forsskal Hayne,umbrella thorn,506369,1,500,1,1,1,71
